device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
gpu,0.7198474640026689,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 17, ""gpu_telemetry"": 53}",8,True,5,53
gpu,0.7192988600581884,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 17, ""gpu_telemetry"": 57}",9,True,5,57
gpu,0.7193648908287287,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 19, ""gpu_telemetry"": 53}",10,True,5,53
gpu,9.08955899067223,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7631, ""gpu_telemetry"": 1540}",1,True,5,1540
gpu,9.242056705988944,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7814, ""gpu_telemetry"": 1577}",2,True,5,1577
gpu,9.389466378837824,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7952, ""gpu_telemetry"": 1598}",3,True,5,1598
gpu,9.339436422102153,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 977, ""pmu_degraded"": 23, ""intensity_undefined"": 7924, ""gpu_telemetry"": 1587}",4,True,5,1587
gpu,9.089507984928787,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7654, ""gpu_telemetry"": 1550}",5,True,5,1550
gpu,9.390895635820925,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7939, ""gpu_telemetry"": 1613}",6,True,5,1613
gpu,8.337106029503047,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 6910, ""gpu_telemetry"": 1413}",7,True,5,1413
gpu,9.289430484175682,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7825, ""gpu_telemetry"": 1574}",8,True,5,1574
gpu,9.192296330817044,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7749, ""gpu_telemetry"": 1568}",9,True,5,1568
gpu,9.388975912705064,,rodinia_lud,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 977, ""pmu_degraded"": 23, ""intensity_undefined"": 7970, ""gpu_telemetry"": 1622}",10,True,5,1622
gpu,6.883456281386316,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 960, ""pmu_degraded"": 2395, ""intensity_undefined"": 3106, ""gpu_telemetry"": 1113}",1,True,5,1113
gpu,6.93432872928679,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 2459, ""intensity_undefined"": 3105, ""gpu_telemetry"": 1158}",2,True,5,1158
gpu,6.935819922015071,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 959, ""pmu_degraded"": 2440, ""intensity_undefined"": 3098, ""gpu_telemetry"": 1167}",3,True,5,1167
gpu,6.934396888129413,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 944, ""pmu_degraded"": 2433, ""intensity_undefined"": 3103, ""gpu_telemetry"": 1162}",4,True,5,1162
gpu,6.784612195566297,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 2279, ""intensity_undefined"": 3087, ""gpu_telemetry"": 1139}",5,True,5,1139
gpu,6.934411784633994,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 2442, ""intensity_undefined"": 3092, ""gpu_telemetry"": 1113}",6,True,5,1113
gpu,6.9879462057724595,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 939, ""pmu_degraded"": 2456, ""intensity_undefined"": 3136, ""gpu_telemetry"": 1171}",7,True,5,1171
gpu,6.883073792792857,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 2417, ""intensity_undefined"": 3103, ""gpu_telemetry"": 1168}",8,True,5,1168
gpu,6.933337946422398,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 2430, ""intensity_undefined"": 3114, ""gpu_telemetry"": 1167}",9,True,5,1167
gpu,6.934632464312017,,rodinia_myocyte,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 949, ""pmu_degraded"": 2438, ""intensity_undefined"": 3102, ""gpu_telemetry"": 1166}",10,True,5,1166
gpu,2.52466278988868,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 945, ""pmu_degraded"": 115, ""intensity_undefined"": 1024, ""gpu_telemetry"": 372}",1,True,5,372
gpu,2.5252560693770647,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 943, ""pmu_degraded"": 128, ""intensity_undefined"": 1026, ""gpu_telemetry"": 377}",2,True,5,377
gpu,2.5238981656730175,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 120, ""intensity_undefined"": 1033, ""gpu_telemetry"": 381}",3,True,5,381
gpu,2.5242218682542443,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 111, ""intensity_undefined"": 1012, ""gpu_telemetry"": 372}",4,True,5,372
gpu,2.5236592730507255,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 944, ""pmu_degraded"": 127, ""intensity_undefined"": 1038, ""gpu_telemetry"": 366}",5,True,5,366
gpu,2.5737148271873593,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 939, ""pmu_degraded"": 132, ""intensity_undefined"": 1053, ""gpu_telemetry"": 379}",6,True,5,379
gpu,2.5237861536443233,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 970, ""pmu_degraded"": 100, ""intensity_undefined"": 1007, ""gpu_telemetry"": 373}",7,True,5,373
gpu,2.5246241316199303,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 125, ""intensity_undefined"": 1034, ""gpu_telemetry"": 377}",8,True,5,377
gpu,2.5739739825949073,,rodinia_dwt2d,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 943, ""pmu_degraded"": 128, ""intensity_undefined"": 1044, ""gpu_telemetry"": 381}",9,True,5,381
